CHROM	BIN_START	N_SNPS	TajimaD
chr01	0	200	-0.82215
chr01	10000	189	-0.812203
chr01	20000	192	-0.799837
chr01	30000	194	-0.82623
chr01	40000	231	-0.8417
chr01	50000	273	-0.729815
chr01	60000	282	-0.77862
chr01	70000	271	-0.646902
chr01	80000	295	-0.718067
chr01	90000	334	-0.611614
chr01	100000	361	-0.67753
chr01	110000	380	-0.748376
chr01	120000	386	-0.726987
chr01	130000	368	-0.713852
chr01	140000	346	-0.656473
chr01	150000	319	-0.677351
chr01	160000	320	-0.705268
chr01	170000	484	-0.638884
chr01	180000	478	-0.539348
chr01	190000	458	-0.590901
chr01	200000	466	-0.450128
chr01	210000	468	-0.405169
chr01	220000	545	-0.374198
chr01	230000	557	-0.39482
chr01	240000	587	-0.42519
chr01	250000	615	-0.440309
chr01	260000	635	-0.471831
chr01	270000	483	-0.481277
chr01	280000	482	-0.491852
chr01	290000	494	-0.402434
chr01	300000	484	-0.436576
chr01	310000	537	-0.283666
chr01	320000	492	-0.31294
chr01	330000	498	-0.238836
chr01	340000	488	-0.256039
chr01	350000	467	-0.232983
chr01	360000	416	-0.147352
chr01	370000	387	-0.123939
chr01	380000	416	-0.245032
chr01	390000	414	-0.27077
chr01	400000	412	-0.10198
chr01	410000	358	0.0242942
chr01	420000	343	0.0629236
chr01	430000	324	-0.000375297
chr01	440000	293	0.12162
chr01	450000	287	0.367118
chr01	460000	276	0.562483
chr01	470000	274	0.718967
chr01	480000	234	0.994966
chr01	490000	216	0.915899
chr01	500000	199	0.689679
chr01	510000	177	0.267034
chr01	520000	171	0.361319
chr01	530000	172	0.36339
chr01	540000	202	0.817884
chr01	550000	228	1.37887
chr01	560000	219	1.27143
chr01	570000	211	1.22342
chr01	580000	198	1.48038
chr01	590000	220	1.93926
chr01	600000	268	2.15571
chr01	610000	293	2.32662
chr01	620000	280	2.3843
chr01	630000	266	2.56106
chr01	640000	234	2.63442
chr01	650000	219	1.92413
chr01	660000	220	1.98945
chr01	670000	224	1.81169
chr01	680000	244	1.54685
chr01	690000	223	1.07546
chr01	700000	188	0.433156
chr01	710000	174	-0.126866
chr01	720000	185	-0.0851366
chr01	730000	192	-0.0412954
chr01	740000	262	-0.18578
chr01	750000	295	-0.205639
chr01	760000	302	-0.325429
chr01	770000	296	-0.212763
chr01	780000	276	-0.123559
chr01	790000	278	-0.0791161
chr01	800000	275	-0.0829304
chr01	810000	292	-0.184294
chr01	820000	306	-0.181704
chr01	830000	335	-0.272602
chr01	840000	314	0.0219012
chr01	850000	327	0.57179
chr01	860000	332	0.620785
chr01	870000	343	0.606061
chr01	880000	357	0.531854
chr01	890000	349	0.538719
chr01	900000	349	0.503681
chr01	910000	329	0.663616
chr01	920000	347	0.920149
chr01	930000	380	1.27343
chr01	940000	352	1.23323
chr01	950000	302	0.863137
chr01	960000	347	0.836818
chr01	970000	391	0.754587
chr01	980000	433	0.56919
chr01	990000	452	0.486642
chr01	1000000	474	0.591599
chr01	1010000	493	0.612724
chr01	1020000	452	0.448254
chr01	1030000	446	0.232257
chr01	1040000	438	0.149425
chr01	1050000	415	0.157464
chr01	1060000	352	0.107186
chr01	1070000	288	0.078294
chr01	1080000	229	0.344119
